date,symbol
2018-04-07,FOMC
2018-05-08,FOMC
2018-05-25,FOMC
2018-06-20,FOMC
2018-08-24,FOMC
2018-09-28,FOMC
2018-10-03,FOMC
2018-10-04,FOMC
2018-11-15,FOMC
2018-11-16,FOMC
2018-11-29,FOMC
2018-12-07,FOMC
2019-01-05,FOMC
2019-01-11,FOMC
2019-02-07,FOMC
2019-02-13,FOMC
2019-03-01,FOMC
2019-03-09,FOMC
2019-03-11,FOMC
2019-03-12,FOMC
2019-05-09,FOMC
2019-05-21,FOMC
2019-06-04,FOMC
2019-06-26,FOMC
2019-07-09,FOMC
2019-07-17,FOMC
2019-08-23,FOMC
2019-09-07,FOMC
2019-10-05,FOMC
2019-10-08,FOMC
2019-10-09,FOMC
2019-10-10,FOMC
2019-11-26,FOMC
2020-03-26,FOMC
2020-04-09,FOMC
2020-05-13,FOMC
2020-05-18,FOMC
2020-05-22,FOMC
2020-05-30,FOMC
2020-06-20,FOMC
2020-08-27,FOMC
2020-09-21,FOMC
2020-10-06,FOMC
2020-10-19,FOMC
2021-01-15,FOMC
2021-02-11,FOMC
2021-03-05,FOMC
2021-03-22,FOMC
2021-04-09,FOMC
2021-04-15,FOMC
2021-05-04,FOMC
2021-06-04,FOMC
2021-08-18,FOMC
2021-08-27,FOMC
2021-09-24,FOMC
2021-09-30,FOMC
2021-10-23,FOMC
2021-11-09,FOMC
2021-11-09,FOMC
2022-03-22,FOMC
2022-03-23,FOMC
2022-04-22,FOMC
2022-04-22,FOMC
2022-05-18,FOMC
2022-05-25,FOMC
2022-06-17,FOMC
2022-06-29,FOMC
2022-08-26,FOMC
2022-09-08,FOMC
2022-09-24,FOMC
2022-09-28,FOMC
2022-12-01,FOMC
